Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
New Hampshire,US,2020-05-03 16:32:33,43.4525,-71.5639,2431,84,980,1367.0,33.0,183.03683023277526,24349.0,270.0,3.4553681612505143,84000033,USA,1833.3047220641074,11.106540518305225
New Jersey,US,2020-05-03 16:32:33,40.2989,-74.521,123717,7742,15642,100333.0,34.0,1392.865948600514,262312.0,,6.257830370927197,84000034,USA,2953.2356322033197,
New Mexico,US,2020-05-03 16:32:33,34.8405,-106.2485,3732,138,785,2809.0,35.0,223.8036668539693,71118.0,587.0,3.6977491961414786,84000035,USA,4264.863124148068,15.728831725616294
New York,US,2020-05-03 16:32:33,42.1657,-74.9481,312977,24198,57540,231239.0,36.0,1856.215740146284,959071.0,67890.0,7.731558549030759,84000036,USA,5688.09428845518,21.69168980468213
North Carolina,US,2020-05-03 16:32:33,35.6301,-79.8064,11741,432,0,11309.0,37.0,118.38221393191586,139475.0,,3.679414019248786,84000037,USA,1406.2992324464667,
North Dakota,US,2020-05-03 16:32:33,47.5289,-99.784,1153,24,510,619.0,38.0,190.13287864146514,31547.0,90.0,2.081526452732004,84000038,USA,5202.187270166783,7.805724197745013
Northern Mariana Islands,US,2020-05-03 16:32:33,15.0979,145.6739,14,2,12,0.0,69.0,25.388074858552155,948.0,,14.285714285714285,580,MNP,1719.1353547076747,
Ohio,US,2020-05-03 16:32:33,40.3888,-82.7649,19335,1022,0,18313.0,39.0,173.03778640505607,145819.0,3712.0,5.2857512283423835,84000039,USA,1305.0011365812707,19.198344970261182
Oklahoma,US,2020-05-03 16:32:33,35.5653,-96.9289,3851,238,2554,1059.0,40.0,105.28664158305617,63655.0,743.0,6.180212931706049,84000040,USA,1740.332685008943,19.293689950662166
Oregon,US,2020-05-03 16:32:33,44.572,-122.0709,2635,109,0,2526.0,41.0,65.75870572891841,60136.0,595.0,4.136622390891841,84000041,USA,1500.7459308213424,22.580645161290327
Pennsylvania,US,2020-05-03 16:32:33,40.5908,-77.2098,51227,2719,0,48508.0,42.0,406.96732638744624,235376.0,,5.307747867335585,84000042,USA,1869.919015670868,
Puerto Rico,US,2020-05-03 16:32:33,18.2208,-66.5901,1808,97,0,1711.0,72.0,61.63479475067907,11070.0,,5.365044247787612,630,PRI,377.37675768253166,
Rhode Island,US,2020-05-03 16:32:33,41.6809,-71.5118,9533,320,531,8682.0,44.0,899.88209873688,69928.0,977.0,3.3567607258995067,84000044,USA,6600.960390273004,10.248610091261932
